# time_s  celsius  duty_pct
1.067 33.7800 100.0
1.078 43.9500 100.0
1.088 44.1200 100.0
1.099 49.0300 100.0
1.110 53.7300 81.8
1.120 45.0600 100.0
1.131 54.6900 56.0
1.142 41.9600 100.0
1.153 55.3700 37.9
1.163 40.8000 100.0
1.174 54.6900 55.5
1.185 39.5400 100.0
1.196 53.4800 87.6
1.206 40.7000 100.0
1.217 50.4500 100.0
1.228 48.8300 100.0
1.239 53.7300 80.2
1.249 49.2200 100.0
1.260 48.6700 100.0
1.271 58.2100 0.0
1.282 50.3500 100.0
1.292 63.7300 0.0
1.303 51.0900 100.0
1.314 66.2000 0.0
1.325 51.5000 100.0
1.335 66.0000 0.0
1.346 53.3300 91.0
1.357 56.1800 15.7
1.368 44.8800 100.0
1.378 50.7800 100.0
1.389 53.5500 85.0
1.400 45.6000 100.0
1.411 53.3000 91.5
1.421 42.2600 100.0
1.432 54.0300 72.1
1.443 40.7000 100.0
1.453 54.3200 63.8
1.464 39.1400 100.0
1.475 54.0300 71.5
1.486 39.9700 100.0
1.496 52.0200 100.0
1.507 47.9700 100.0
1.518 54.8400 49.1
1.529 47.4000 100.0
1.539 49.3900 100.0
1.550 56.5700 2.9
1.561 45.3000 100.0
1.572 57.3600 0.0
1.582 48.2200 100.0
1.593 62.5600 0.0
1.604 50.0400 100.0
1.615 65.4400 0.0
1.625 51.6400 100.0
1.636 64.0700 0.0
1.647 54.0300 71.0
1.658 53.0100 97.9
1.668 44.8800 100.0
1.679 48.6400 100.0
1.690 54.4300 59.7
1.701 45.1800 100.0
1.711 55.2900 36.5
1.722 41.9600 100.0
1.733 54.8800 47.4
1.744 39.4600 100.0
1.754 53.8100 75.6
1.765 39.0700 100.0
1.776 52.7600 100.0
1.787 46.2900 100.0
1.797 56.6100 0.7
1.808 47.6500 100.0
1.819 51.9200 100.0
1.829 56.0200 16.0
1.840 45.4200 100.0
1.851 55.0700 41.1
1.862 42.6600 100.0
1.872 55.0300 42.1
1.883 40.7000 100.0
1.894 54.8000 47.7
1.905 40.2100 100.0
1.915 54.0600 67.1
1.926 40.7200 100.0
1.937 51.4000 100.0
1.948 48.7000 100.0
1.958 54.2500 61.8
1.969 49.0600 100.0
1.980 49.0600 100.0
1.991 58.0500 0.0
2.001 50.1400 100.0
2.012 62.9300 0.0
2.023 51.0200 100.0
2.034 65.8500 0.0
2.044 51.1900 100.0
2.055 66.0000 0.0
2.066 52.3700 100.0
2.077 63.4900 0.0
2.087 55.6400 25.5
2.098 52.4100 100.0
2.109 53.7000 77.0
2.120 45.8700 100.0
2.130 53.3300 86.4
2.141 43.4300 100.0
2.152 54.8400 46.0
2.162 40.4000 100.0
2.173 54.6200 51.8
2.184 39.5400 100.0
2.195 53.6200 77.9
2.205 38.9900 100.0
2.216 51.3300 100.0
2.227 46.8700 100.0
2.238 55.3300 31.8
2.248 46.9700 100.0
2.259 50.2400 100.0
2.270 56.0600 12.4
2.281 45.2700 100.0
2.291 56.5700 0.0
2.302 48.2500 100.0
2.313 62.3300 0.0
2.324 49.7800 100.0
2.334 65.3400 0.0
2.345 51.1200 100.0
2.356 64.6000 0.0
2.367 53.3700 84.1
2.377 53.9900 67.7
2.388 44.5900 100.0
2.399 49.2900 100.0
2.410 53.5200 80.1
2.420 45.8700 100.0
2.431 54.8000 45.6
2.442 42.0700 100.0
2.453 54.3600 57.2
2.463 40.2100 100.0
2.474 54.1400 62.7
2.485 39.4900 100.0
2.495 53.4100 81.7
2.506 40.9400 100.0
2.517 52.2000 100.0
2.528 48.8000 100.0
2.538 54.7300 46.2
2.548 48.2900 100.0
2.559 48.9000 100.0
2.570 57.3200 0.0
2.580 50.6500 100.0
2.591 63.1600 0.0
2.602 51.4000 100.0
2.613 66.0000 0.0
2.623 51.0500 100.0
2.634 66.2000 0.0
2.645 52.3700 100.0
2.656 64.2600 0.0
2.666 55.0300 38.8
2.677 53.1200 89.5
2.688 45.6600 100.0
2.699 48.3800 100.0
2.709 54.8800 42.6
2.720 43.7400 100.0
2.731 54.7700 45.3
2.742 41.4600 100.0
2.752 54.6500 48.0
2.763 40.2400 100.0
2.774 54.9200 40.6
2.785 40.0200 100.0
2.795 53.2300 85.5
2.806 41.0500 100.0
2.817 49.8500 100.0
2.828 49.5800 100.0
2.838 52.6900 99.1
2.849 51.1600 100.0
2.860 48.4500 100.0
2.870 59.3800 0.0
2.881 49.8800 100.0
2.892 64.0200 0.0
2.903 50.9900 100.0
2.913 66.0500 0.0
2.925 51.7800 100.0
2.936 63.9200 0.0
2.947 55.2200 32.6
2.957 54.5800 49.6
2.968 48.4500 100.0
2.979 50.6500 100.0
2.990 56.2900 3.8
3.000 47.0900 100.0
3.011 57.4800 0.0
3.022 48.9300 100.0
3.033 63.5900 0.0
3.043 50.2100 100.0
3.054 65.8500 0.0
3.065 51.2300 100.0
3.076 64.8500 0.0
3.086 54.0600 63.6
3.097 55.9800 12.5
3.108 47.2800 100.0
3.119 51.5700 100.0
3.129 56.1000 9.2
3.140 46.9100 100.0
3.151 57.6400 0.0
3.162 49.5500 100.0
3.172 62.9800 0.0
3.183 50.4500 100.0
3.194 66.1000 0.0
3.204 51.5300 100.0
3.215 65.8000 0.0
3.226 53.5900 76.5
3.237 56.8800 0.0
3.247 52.6900 100.0
3.258 57.3200 0.0
3.269 58.2900 0.0
3.280 55.2600 32.5
3.290 56.9200 0.0
3.301 50.1100 100.0
3.312 63.3100 0.0
3.323 50.9900 100.0
3.333 65.9000 0.0
3.344 51.4700 100.0
3.355 66.4100 0.0
3.366 52.6200 100.0
3.376 63.8300 0.0
3.387 55.3700 30.3
3.397 54.4700 54.3
3.408 47.9400 100.0
3.418 50.2800 100.0
3.429 57.0000 0.0
3.440 51.0500 100.0
3.451 63.3100 0.0
3.461 51.6400 100.0
3.472 65.8000 0.0
3.483 51.3600 100.0
3.494 67.0300 0.0
3.504 52.1600 100.0
3.515 65.0000 0.0
3.526 54.6900 49.0
3.537 54.5800 52.0
3.547 47.3400 100.0
3.558 50.3800 100.0
3.569 56.1000 11.6
3.579 46.4400 100.0
3.590 57.2000 0.0
3.601 48.7400 100.0
3.612 63.1200 0.0
3.622 50.4100 100.0
3.633 65.3900 0.0
3.644 51.2300 100.0
