# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred  predicted_c  rate_c_s
9.104 43.69 48.8100 0.0 -5.115 -6.031 51.75 0.2453
9.203 43.71 48.8700 0.0 -5.160 -6.092 51.84 0.2471
9.304 43.73 48.9200 0.0 -5.192 -6.131 51.90 0.2484
9.403 43.75 48.9900 0.0 -5.240 -6.196 51.99 0.2504
9.503 43.76 49.0300 0.0 -5.267 -6.228 52.05 0.2513
9.603 43.78 49.1000 0.0 -5.323 -6.307 52.15 0.2537
9.703 43.80 49.1700 0.0 -5.372 -6.371 52.24 0.2558
9.804 43.81 49.2100 0.0 -5.399 -6.404 52.29 0.2567
9.903 43.83 49.2800 0.0 -5.449 -6.472 52.39 0.2588
10.003 43.85 49.3500 0.0 -5.500 -6.544 52.48 0.2609
10.103 43.87 49.3900 0.0 -5.524 -6.570 52.53 0.2617
10.203 43.88 49.4600 0.0 -5.580 -6.649 52.63 0.2641
10.303 43.90 49.5200 0.0 -5.615 -6.693 52.70 0.2654
10.402 43.92 49.5700 0.0 -5.651 -6.739 52.77 0.2667
10.503 43.94 49.6400 0.0 -5.705 -6.813 52.87 0.2689
10.604 43.95 49.6900 0.0 -5.740 -6.859 52.94 0.2702
10.703 43.97 49.7400 0.0 -5.772 -6.899 53.00 0.2714
10.803 43.99 49.8000 0.0 -5.809 -6.946 53.07 0.2728
10.903 44.01 49.8700 0.0 -5.859 -7.018 53.16 0.2748
11.004 44.03 49.9300 0.0 -5.900 -7.070 53.24 0.2764
11.103 44.04 49.9700 0.0 -5.927 -7.102 53.30 0.2772
11.202 44.06 50.0300 0.0 -5.973 -7.165 53.38 0.2790
11.304 44.08 50.0900 0.0 -6.012 -7.217 53.46 0.2805
11.403 44.10 50.1500 0.0 -6.050 -7.268 53.53 0.2819
11.503 44.12 50.2200 0.0 -6.101 -7.338 53.62 0.2840
11.603 44.13 50.2700 0.0 -6.132 -7.377 53.69 0.2850
11.703 44.15 50.3300 0.0 -6.182 -7.447 53.78 0.2869
11.803 44.17 50.3900 0.0 -6.224 -7.503 53.86 0.2885
11.902 44.19 50.4300 0.0 -6.246 -7.528 53.90 0.2891
12.003 44.21 50.4900 0.0 -6.288 -7.586 53.98 0.2907
12.104 44.22 50.5600 0.0 -6.334 -7.647 54.07 0.2924
12.203 44.24 50.6000 0.0 -6.359 -7.676 54.12 0.2931
12.303 44.26 50.6600 0.0 -6.399 -7.731 54.19 0.2946
12.402 44.28 50.7100 0.0 -6.428 -7.768 54.25 0.2955
12.504 44.30 50.7700 0.0 -6.472 -7.825 54.34 0.2971
12.603 44.32 50.8100 0.0 -6.488 -7.840 54.37 0.2974
12.702 44.34 50.8700 0.0 -6.530 -7.898 54.45 0.2989
12.803 44.35 50.9200 0.0 -6.567 -7.947 54.52 0.3002
12.903 44.37 50.9800 0.0 -6.607 -8.000 54.60 0.3016
13.003 44.39 51.0400 0.0 -6.646 -8.051 54.67 0.3030
13.103 44.41 51.0800 0.0 -6.671 -8.081 54.72 0.3037
13.203 44.43 51.1400 0.0 -6.710 -8.133 54.80 0.3050
13.304 44.45 51.1900 0.0 -6.744 -8.178 54.86 0.3061
13.402 44.47 51.2300 0.0 -6.761 -8.193 54.90 0.3064
13.503 44.48 51.3000 0.0 -6.818 -8.275 55.01 0.3086
13.604 44.50 51.3500 0.0 -6.843 -8.306 55.06 0.3093
13.703 44.52 51.3800 0.0 -6.861 -8.323 55.10 0.3096
13.803 44.54 51.4300 0.0 -6.885 -8.351 55.15 0.3102
13.903 44.56 51.5000 0.0 -6.936 -8.423 55.24 0.3121
14.004 44.58 51.5400 0.0 -6.959 -8.450 55.29 0.3126
14.103 44.60 51.5900 0.0 -6.988 -8.487 55.35 0.3135
14.202 44.62 51.6400 0.0 -7.024 -8.534 55.42 0.3146
14.304 44.63 51.6800 0.0 -7.048 -8.561 55.47 0.3152
14.403 44.65 51.7500 0.0 -7.093 -8.624 55.55 0.3168
14.503 44.67 51.8000 0.0 -7.127 -8.666 55.61 0.3179
14.603 44.69 51.8400 0.0 -7.152 -8.698 55.67 0.3185
14.703 44.71 51.8900 0.0 -7.177 -8.727 55.72 0.3191
14.803 44.73 51.9400 0.0 -7.207 -8.766 55.78 0.3200
14.902 44.75 51.9900 0.0 -7.243 -8.812 55.85 0.3211
15.003 44.77 52.0300 0.0 -7.264 -8.836 55.89 0.3215
15.104 44.79 52.0800 0.0 -7.297 -8.880 55.95 0.3225
15.203 44.81 52.1200 0.0 -7.315 -8.898 55.99 0.3228
15.303 44.83 52.1800 0.0 -7.359 -8.958 56.08 0.3243
15.402 44.84 52.2300 0.0 -7.385 -8.989 56.13 0.3249
15.504 44.86 52.2800 0.0 -7.418 -9.032 56.19 0.3259
15.603 44.88 52.3200 0.0 -7.441 -9.058 56.24 0.3264
15.702 44.90 52.3600 0.0 -7.463 -9.084 56.29 0.3268
15.803 44.92 52.4200 0.0 -7.494 -9.125 56.35 0.3277
15.903 44.94 52.4600 0.0 -7.524 -9.161 56.41 0.3285
16.003 44.96 52.5000 0.0 -7.540 -9.176 56.44 0.3286
16.103 44.98 52.5600 0.0 -7.578 -9.227 56.51 0.3299
16.203 45.00 52.6000 0.0 -7.605 -9.260 56.57 0.3305
16.304 45.02 52.6400 0.0 -7.626 -9.284 56.61 0.3309
16.402 45.04 52.6800 0.0 -7.641 -9.298 56.65 0.3309
16.503 45.06 52.7300 0.0 -7.669 -9.333 56.71 0.3317
16.604 45.07 52.7700 0.0 -7.698 -9.370 56.76 0.3324
16.703 45.09 52.8300 0.0 -7.736 -9.421 56.83 0.3336
16.803 45.11 52.8800 0.0 -7.764 -9.454 56.89 0.3343
16.903 45.13 52.9100 0.0 -7.776 -9.464 56.92 0.3342
17.004 45.15 52.9600 0.0 -7.805 -9.501 56.98 0.3350
17.103 45.17 53.0000 0.0 -7.828 -9.527 57.02 0.3354
17.202 45.19 53.0400 0.0 -7.853 -9.558 57.08 0.3359
17.304 45.21 53.0800 0.0 -7.873 -9.578 57.12 0.3362
17.403 45.23 53.1400 0.0 -7.909 -9.625 57.19 0.3373
17.503 45.25 53.1700 0.0 -7.922 -9.638 57.22 0.3373
17.603 45.27 53.2100 0.0 -7.945 -9.663 57.27 0.3377
17.703 45.29 53.2600 0.0 -7.973 -9.700 57.32 0.3384
17.803 45.31 53.3000 0.0 -7.996 -9.727 57.37 0.3388
17.902 45.33 53.3400 0.0 -8.010 -9.739 57.40 0.3388
18.004 45.35 53.3800 0.0 -8.038 -9.773 57.46 0.3395
18.104 45.37 53.4400 0.0 -8.070 -9.815 57.52 0.3404
18.203 45.39 53.4800 0.0 -8.091 -9.838 57.57 0.3407
18.303 45.41 53.5200 0.0 -8.111 -9.861 57.61 0.3410
18.403 45.42 53.5600 0.0 -8.137 -9.893 57.66 0.3415
18.503 45.44 53.6100 0.0 -8.162 -9.922 57.71 0.3420
18.603 45.46 53.6400 0.0 -8.176 -9.935 57.74 0.3420
18.703 45.48 53.6800 0.0 -8.192 -9.950 57.78 0.3420
18.804 45.50 53.7200 0.0 -8.220 -9.984 57.83 0.3427
18.902 45.52 53.7600 0.0 -8.240 -10.007 57.88 0.3430
19.003 45.54 53.7900 0.0 -8.252 -10.018 57.91 0.3429
19.104 45.56 53.8400 0.0 -8.280 -10.053 57.96 0.3435
19.204 45.58 53.8900 0.0 -8.305 -10.082 58.01 0.3440
19.304 45.60 53.9100 0.0 -8.311 -10.083 58.03 0.3436
19.402 45.62 53.9600 0.0 -8.341 -10.120 58.09 0.3444
19.503 45.64 54.0000 0.0 -8.362 -10.142 58.14 0.3447
19.604 45.66 54.0300 0.0 -8.372 -10.150 58.16 0.3444
19.703 45.68 54.0900 0.0 -8.407 -10.197 58.23 0.3454
19.803 45.70 54.1200 0.0 -8.424 -10.214 58.27 0.3455
19.902 45.72 54.1500 0.0 -8.434 -10.220 58.30 0.3453
20.004 45.74 54.2100 0.0 -8.468 -10.265 58.36 0.3463
20.103 45.76 54.2300 0.0 -8.472 -10.259 58.38 0.3457
20.202 45.78 54.2700 0.0 -8.489 -10.279 58.42 0.3458
20.304 45.80 54.3000 0.0 -8.504 -10.293 58.45 0.3458
20.403 45.82 54.3500 0.0 -8.536 -10.334 58.51 0.3467
20.503 45.84 54.3900 0.0 -8.550 -10.346 58.55 0.3466
20.603 45.86 54.4100 0.0 -8.551 -10.338 58.56 0.3459
20.703 45.88 54.4700 0.0 -8.589 -10.390 58.63 0.3471
20.803 45.90 54.5000 0.0 -8.602 -10.401 58.66 0.3470
20.902 45.92 54.5300 0.0 -8.618 -10.416 58.70 0.3470
21.004 45.94 54.5800 0.0 -8.642 -10.445 58.75 0.3475
21.104 45.95 54.6200 0.0 -8.664 -10.472 58.79 0.3478
21.203 45.97 54.6400 0.0 -8.670 -10.471 58.81 0.3474
21.303 45.99 54.6700 0.0 -8.679 -10.477 58.84 0.3471
21.403 46.01 54.7100 0.0 -8.693 -10.489 58.87 0.3470
21.504 46.03 54.7400 0.0 -8.709 -10.503 58.91 0.3471
21.603 46.05 54.7900 0.0 -8.735 -10.538 58.96 0.3476
21.703 46.07 54.8500 0.0 -8.772 -10.587 59.03 0.3487
21.804 46.09 54.8900 0.0 -8.799 -10.620 59.08 0.3493
21.902 46.11 54.9200 0.0 -8.810 -10.629 59.11 0.3491
22.003 46.13 54.9600 0.0 -8.825 -10.641 59.15 0.3491
22.104 46.15 54.9900 0.0 -8.834 -10.646 59.17 0.3488
22.203 46.17 55.0200 0.0 -8.852 -10.666 59.21 0.3489
22.303 46.19 55.0600 0.0 -8.867 -10.681 59.25 0.3489
22.402 46.21 55.0900 0.0 -8.882 -10.696 59.28 0.3489
22.504 46.23 55.1200 0.0 -8.891 -10.699 59.31 0.3486
22.603 46.25 55.1700 0.0 -8.915 -10.728 59.35 0.3491
22.702 46.27 55.1900 0.0 -8.922 -10.730 59.38 0.3487
22.804 46.29 55.2200 0.0 -8.934 -10.741 59.41 0.3485
22.904 46.31 55.2600 0.0 -8.953 -10.760 59.45 0.3487
23.004 46.33 55.3000 0.0 -8.967 -10.772 59.48 0.3486
23.104 46.35 55.3100 0.0 -8.963 -10.758 59.49 0.3477
23.205 46.37 55.3500 0.0 -8.980 -10.775 59.52 0.3478
23.304 46.39 55.3900 0.0 -9.001 -10.799 59.57 0.3481
23.403 46.41 55.4200 0.0 -9.006 -10.796 59.59 0.3476
23.504 46.43 55.4500 0.0 -9.018 -10.807 59.62 0.3474
23.604 46.45 55.4700 0.0 -9.025 -10.809 59.64 0.3471
23.704 46.47 55.5200 0.0 -9.046 -10.834 59.68 0.3474
23.804 46.49 55.5300 0.0 -9.045 -10.824 59.69 0.3466
23.904 46.51 55.5700 0.0 -9.058 -10.835 59.72 0.3465
24.004 46.53 55.6000 0.0 -9.069 -10.844 59.75 0.3463
24.104 46.55 55.6300 0.0 -9.078 -10.849 59.78 0.3460
24.205 46.57 55.6600 0.0 -9.091 -10.859 59.81 0.3459
24.305 46.59 55.6900 0.0 -9.099 -10.864 59.84 0.3456
24.403 46.61 55.7200 0.0 -9.112 -10.876 59.87 0.3455
24.504 46.63 55.7500 0.0 -9.124 -10.885 59.90 0.3454
24.604 46.65 55.7700 0.0 -9.121 -10.870 59.90 0.3445
24.705 46.67 55.8100 0.0 -9.139 -10.892 59.94 0.3447
24.804 46.69 55.8300 0.0 -9.147 -10.893 59.97 0.3443
24.903 46.71 55.8600 0.0 -9.157 -10.901 59.99 0.3441
25.005 46.73 55.8900 0.0 -9.158 -10.894 60.01 0.3434
25.104 46.75 55.9100 0.0 -9.164 -10.895 60.03 0.3430
25.204 46.77 55.9400 0.0 -9.168 -10.892 60.04 0.3425
25.304 46.79 55.9700 0.0 -9.180 -10.903 60.08 0.3424
25.404 46.81 55.9900 0.0 -9.182 -10.897 60.09 0.3417
25.505 46.83 56.0100 0.0 -9.187 -10.895 60.11 0.3413
25.604 46.85 56.0400 0.0 -9.197 -10.902 60.14 0.3411
25.704 46.87 56.0700 0.0 -9.201 -10.899 60.15 0.3405
25.805 46.89 56.0900 0.0 -9.200 -10.889 60.16 0.3398
25.904 46.91 56.1200 0.0 -9.214 -10.904 60.20 0.3398
26.004 46.93 56.1300 0.0 -9.207 -10.884 60.20 0.3387
26.104 46.95 56.1700 0.0 -9.225 -10.904 60.24 0.3389
26.205 46.97 56.1900 0.0 -9.225 -10.896 60.25 0.3382
26.304 46.99 56.2300 0.0 -9.244 -10.918 60.29 0.3385
26.403 47.01 56.2500 0.0 -9.243 -10.908 60.30 0.3377
26.504 47.03 56.2800 0.0 -9.250 -10.912 60.33 0.3374
26.604 47.05 56.3000 0.0 -9.252 -10.906 60.34 0.3368
26.704 47.07 56.3200 0.0 -9.255 -10.902 60.36 0.3362
26.804 47.09 56.3300 0.0 -9.248 -10.881 60.36 0.3352
26.904 47.11 56.3700 0.0 -9.267 -10.902 60.40 0.3355
27.005 47.13 56.3900 0.0 -9.266 -10.894 60.41 0.3348
27.104 47.15 56.4200 0.0 -9.279 -10.905 60.44 0.3347
27.204 47.17 56.4500 0.0 -9.280 -10.899 60.45 0.3341
27.305 47.19 56.4700 0.0 -9.282 -10.894 60.47 0.3335
27.404 47.21 56.4800 0.0 -9.280 -10.883 60.48 0.3327
27.504 47.23 56.5100 0.0 -9.282 -10.876 60.49 0.3322
27.604 47.24 56.5400 0.0 -9.295 -10.890 60.53 0.3322
27.705 47.26 56.5500 0.0 -9.288 -10.869 60.53 0.3312
27.805 47.28 56.5800 0.0 -9.291 -10.869 60.54 0.3307
27.903 47.30 56.5900 0.0 -9.287 -10.852 60.55 0.3298
28.004 47.32 56.6200 0.0 -9.293 -10.856 60.57 0.3294
28.104 47.34 56.6400 0.0 -9.299 -10.856 60.59 0.3291
28.205 47.36 56.6600 0.0 -9.298 -10.846 60.60 0.3284
28.304 47.38 56.6900 0.0 -9.303 -10.846 60.62 0.3280
28.404 47.40 56.7000 0.0 -9.300 -10.834 60.63 0.3272
28.504 47.42 56.7200 0.0 -9.300 -10.826 60.64 0.3266
28.604 47.44 56.7500 0.0 -9.306 -10.828 60.66 0.3262
28.705 47.46 56.7800 0.0 -9.313 -10.832 60.69 0.3260
28.804 47.48 56.8000 0.0 -9.319 -10.835 60.71 0.3256
28.903 47.50 56.8200 0.0 -9.314 -10.818 60.72 0.3247
29.005 47.52 56.8400 0.0 -9.319 -10.818 60.73 0.3244
29.104 47.54 56.8600 0.0 -9.315 -10.804 60.74 0.3236
29.204 47.56 56.8700 0.0 -9.307 -10.784 60.74 0.3225
29.304 47.58 56.9100 0.0 -9.329 -10.812 60.79 0.3230
29.404 47.60 56.9200 0.0 -9.311 -10.777 60.77 0.3215
29.504 47.62 56.9500 0.0 -9.323 -10.786 60.80 0.3215
29.604 47.64 56.9700 0.0 -9.327 -10.785 60.82 0.3211
29.705 47.66 56.9900 0.0 -9.327 -10.777 60.84 0.3204
29.804 47.68 56.9900 0.0 -9.307 -10.738 60.82 0.3188
29.903 47.70 57.0100 0.0 -9.310 -10.736 60.83 0.3184
30.005 47.72 57.0400 0.0 -9.316 -10.738 60.86 0.3181
30.104 47.74 57.0500 0.0 -9.310 -10.722 60.86 0.3172
30.204 47.76 57.0700 0.0 -9.305 -10.707 60.87 0.3164
30.304 47.78 57.0900 0.0 -9.304 -10.698 60.88 0.3158
30.404 47.80 57.1000 0.0 -9.301 -10.687 60.89 0.3150
30.505 47.82 57.1300 0.0 -9.302 -10.681 60.90 0.3145
30.604 47.84 57.1400 0.0 -9.298 -10.667 60.91 0.3137
30.704 47.86 57.1700 0.0 -9.307 -10.675 60.93 0.3136
30.805 47.88 57.1900 0.0 -9.306 -10.667 60.95 0.3130
30.904 47.90 57.2000 0.0 -9.300 -10.650 60.95 0.3121
31.004 47.92 57.2200 0.0 -9.294 -10.634 60.95 0.3113
31.104 47.94 57.2400 0.0 -9.293 -10.626 60.96 0.3107
31.205 47.96 57.2600 0.0 -9.292 -10.618 60.98 0.3100
31.304 47.98 57.2700 0.0 -9.291 -10.609 60.99 0.3094
31.403 48.00 57.2900 0.0 -9.292 -10.604 61.00 0.3089
31.504 48.02 57.3100 0.0 -9.286 -10.588 61.01 0.3081
31.604 48.04 57.3300 0.0 -9.285 -10.580 61.02 0.3075
31.704 48.06 57.3500 0.0 -9.290 -10.582 61.04 0.3072
31.804 48.08 57.3700 0.0 -9.290 -10.575 61.05 0.3067
31.904 48.10 57.3900 0.0 -9.283 -10.558 61.06 0.3058
32.005 48.12 57.4000 0.0 -9.279 -10.545 61.06 0.3051
32.104 48.14 57.4200 0.0 -9.282 -10.543 61.08 0.3047
32.204 48.16 57.4500 0.0 -9.286 -10.543 61.10 0.3043
32.305 48.18 57.4600 0.0 -9.276 -10.521 61.10 0.3033
32.404 48.20 57.4900 0.0 -9.283 -10.525 61.12 0.3031
32.504 48.22 57.4900 0.0 -9.265 -10.489 61.11 0.3017
32.604 48.24 57.5000 0.0 -9.262 -10.478 61.12 0.3011
32.705 48.26 57.5200 0.0 -9.261 -10.470 61.13 0.3005
32.804 48.28 57.5400 0.0 -9.260 -10.465 61.14 0.3000
32.903 48.30 57.5500 0.0 -9.249 -10.438 61.14 0.2989
33.005 48.32 57.5700 0.0 -9.249 -10.433 61.15 0.2984
33.104 48.34 57.5800 0.0 -9.240 -10.413 61.15 0.2975
33.204 48.36 57.6200 0.0 -9.256 -10.432 61.19 0.2978
33.304 48.38 57.6300 0.0 -9.248 -10.414 61.19 0.2969
33.404 48.40 57.6400 0.0 -9.234 -10.386 61.19 0.2957
33.505 48.42 57.6500 0.0 -9.230 -10.373 61.19 0.2950
33.604 48.44 57.6700 0.0 -9.226 -10.361 61.20 0.2944
33.705 48.46 57.6800 0.0 -9.220 -10.346 61.21 0.2936
33.805 48.48 57.7000 0.0 -9.215 -10.331 61.21 0.2928
33.903 48.50 57.7100 0.0 -9.210 -10.319 61.22 0.2922
34.004 48.52 57.7200 0.0 -9.203 -10.301 61.22 0.2913
34.104 48.54 57.7400 0.0 -9.197 -10.286 61.23 0.2906
34.204 48.56 57.7600 0.0 -9.196 -10.280 61.24 0.2901
34.304 48.58 57.7800 0.0 -9.194 -10.270 61.25 0.2895
34.404 48.60 57.7900 0.0 -9.189 -10.257 61.26 0.2888
34.505 48.62 57.8000 0.0 -9.176 -10.232 61.25 0.2877
34.604 48.64 57.8100 0.0 -9.166 -10.210 61.25 0.2868
34.704 48.66 57.8400 0.0 -9.176 -10.221 61.28 0.2869
34.805 48.68 57.8400 0.0 -9.153 -10.180 61.26 0.2853
34.904 48.70 57.8600 0.0 -9.153 -10.174 61.27 0.2849
