# time_s  celsius  duty_pct
0.000 27.9909 14.0
0.311 28.1028 12.6
0.939 27.9686 15.5
1.567 28.0133 15.2
1.879 28.0133 15.6
2.505 27.9686 16.9
2.818 28.0133 16.6
3.439 28.0133 17.1
4.063 28.1700 14.9
4.376 28.0133 18.3
5.008 28.0804 17.6
5.323 28.0357 18.9
5.949 28.0580 19.1
6.577 28.0804 19.2
6.893 28.0804 19.8
7.518 27.9909 21.9
7.829 28.0804 20.8
8.447 27.9909 22.9
9.074 28.0580 22.2
9.388 28.0133 23.5
10.017 28.0357 23.6
10.330 28.0580 23.7
10.955 28.0580 24.2
11.579 28.0133 25.5
11.894 28.0357 25.6
12.521 28.0357 26.2
12.834 28.0580 26.3
13.482 28.0133 27.6
13.794 28.0580 27.3
14.345 28.0580 27.9
14.856 27.9909 29.6
15.364 28.0580 28.9
15.874 28.2848 25.6
16.469 28.0133 31.1
17.062 28.1028 30.0
17.362 28.0580 31.4
17.871 28.0133 32.7
18.381 27.9909 33.6
18.892 28.0580 32.9
19.401 28.0580 33.5
19.912 28.0133 34.8
20.426 28.0580 34.5
20.983 28.0133 35.9
21.603 28.0357 36.0
21.912 28.1028 35.4
22.480 28.1028 36.0
