# time_s  celsius  duty_pct  target_c  disturb_c
10.04 30.4992 6.283 60.00 0.0000
20.04 30.5681 6.343 60.00 -1.2560
30.10 30.8724 6.402 60.00 -1.0316
40.15 31.4838 6.458 60.00 -0.7261
50.16 32.3542 6.512 60.00 -0.4563
60.21 33.3799 30.000 60.00 -0.2799
70.23 34.6448 30.000 60.00 -5.2893
80.29 34.6212 30.000 60.00 -6.5295
90.34 40.8451 30.000 60.00 -0.2828
100.38 45.4182 30.000 60.00 -1.6958
110.45 50.5978 30.000 60.00 -0.9144
120.53 56.4715 19.977 60.00 -0.0224
130.54 62.1572 6.413 60.00 2.2707
140.56 67.4037 5.075 60.00 5.1024
150.58 71.5872 5.338 60.00 4.5411
160.61 74.5084 5.412 60.00 3.3795
