# time_s  setpoint_c  celsius  duty_pct
# 13:29:54  started, log sequence_20260909_132952.txt
# 13:29:54  stage 1/3: target 90.0 C (up)
245.414 78.33 77.38 17.5
245.915 78.43 77.52 17.2
246.415 78.53 77.45 18.7
246.916 78.63 77.59 18.3
247.417 78.73 77.66 18.5
247.918 78.83 77.74 18.8
248.419 78.93 77.95 17.8
248.920 79.03 77.95 18.6
249.420 79.13 77.95 19.5
249.921 79.23 78.32 17.2
250.422 79.33 78.46 16.9
250.923 79.43 78.32 19.1
251.424 79.53 78.39 19.3
251.925 79.63 78.83 16.4
252.426 79.73 78.83 17.3
252.927 79.83 78.83 18.2
253.427 79.93 78.69 20.3
253.928 80.03 79.13 17.4
254.429 80.13 78.98 19.5
254.930 80.23 79.06 19.7
255.431 80.33 79.06 20.5
255.931 80.43 78.83 23.2
256.432 80.53 79.28 20.1
256.933 80.63 79.66 17.7
257.434 80.73 79.59 19.3
257.935 80.83 79.59 20.1
258.435 80.93 79.74 19.7
258.936 81.03 80.12 17.3
259.437 81.13 80.05 18.9
259.938 81.23 80.12 19.1
260.439 81.33 80.12 20.0
260.940 81.43 80.36 18.9
261.441 81.53 80.20 21.1
261.942 81.63 80.59 18.6
262.442 81.73 80.59 19.5
262.943 81.83 80.83 18.4
263.444 81.93 80.75 20.0
263.945 82.03 80.99 18.9
264.446 82.13 80.99 19.7
264.947 82.23 81.15 19.3
265.447 82.33 81.31 18.8
265.948 82.43 81.07 21.7
266.449 82.53 81.55 18.5
266.950 82.63 81.63 18.7
267.451 82.73 81.63 19.6
267.951 82.83 81.71 19.8
268.452 82.93 82.03 18.0
268.953 83.03 82.03 18.9
269.454 83.13 82.20 18.4
269.955 83.23 82.28 18.7
270.455 83.33 82.53 17.5
270.955 83.43 82.28 20.5
271.456 83.53 82.70 17.9
271.957 83.63 82.61 19.5
272.458 83.73 82.70 19.7
272.958 83.83 82.95 18.4
273.459 83.93 82.78 20.8
273.960 84.03 83.03 19.4
274.461 84.13 83.29 18.2
274.962 84.23 83.46 17.7
275.463 84.33 83.37 19.4
275.964 84.43 83.46 19.5
276.464 84.53 83.63 18.9
276.965 84.63 83.98 17.0
277.466 84.73 84.06 17.2
277.967 84.83 83.98 18.9
278.468 84.93 84.33 16.9
278.969 85.03 84.24 18.6
279.469 85.13 84.06 20.9
279.970 85.23 84.50 18.0
280.471 85.33 84.59 18.2
280.972 85.43 84.41 20.6
281.473 85.53 84.59 19.9
281.974 85.63 84.68 20.0
282.474 85.73 85.04 17.9
282.975 85.83 85.13 18.1
283.476 85.93 85.31 17.5
283.977 86.03 85.40 17.6
284.478 86.13 85.49 17.8
284.979 86.22 85.85 15.5
285.479 86.32 85.85 16.4
285.980 86.41 85.85 17.2
286.481 86.50 86.04 16.5
286.982 86.59 86.41 14.1
287.483 86.67 86.04 18.1
287.984 86.76 86.22 17.2
288.485 86.84 86.88 12.4
288.985 86.92 86.32 18.0
289.486 86.99 86.79 14.7
289.987 87.07 87.26 11.5
290.488 87.14 86.60 17.9
290.988 87.21 87.26 12.9
291.489 87.28 87.17 14.5
291.990 87.35 87.17 15.2
292.491 87.42 87.75 10.9
292.992 87.48 87.55 13.4
293.493 87.54 87.65 13.2
293.993 87.61 87.46 15.5
294.494 87.67 87.85 12.8
294.995 87.72 87.94 12.6
295.496 87.78 87.65 15.6
295.997 87.84 88.04 12.8
296.497 87.89 88.24 11.8
296.997 87.94 88.24 12.4
297.498 87.99 88.24 12.9
297.999 88.04 88.54 11.0
298.500 88.09 89.24 5.7
299.001 88.14 88.94 9.0
299.501 88.19 88.94 9.6
300.002 88.23 88.74 11.9
300.503 88.28 89.04 9.8
301.004 88.32 89.35 7.7
301.505 88.36 89.14 10.0
